kod_obce,nazev_obce,volici_v_seznamu,vydane_obalky,platne_hlasy
28,Dìlnic.str.sociální spravedl.,2,"0,53",X
29,Svob.a pø.dem.-T.Okamura (SPD),43,"11,49",X
30,Strana Práv Obèanù,0,"0,00",-
1,1,"100,00",24,19,"79,17",19,19,"100,00"
1,Obèanská demokratická strana,0,"0,00",-
2,Øád národa - Vlastenecká unie,0,"0,00",-
3,CESTA ODPOVÌDNÉ SPOLEÈNOSTI,0,"0,00",-
4,Èeská str.sociálnì demokrat.,0,"0,00",-
6,Radostné Èesko,0,"0,00",-
7,STAROSTOVÉ A NEZÁVISLÍ,0,"0,00",-
8,Komunistická str.Èech a Moravy,1,"5,26",X
9,Strana zelenıch,0,"0,00",-
10,"ROZUMNÍ-stop migraci,diktát.EU",0,"0,00",-
12,Strana svobodnıch obèanù,1,"5,26",X
13,Blok proti islam.-Obran.domova,0,"0,00",-
14,Obèanská demokratická aliance,0,"0,00",-
15,Èeská pirátská strana,3,"15,78",X
17,Unie H.A.V.E.L.,0,"0,00",-
19,Referendum o Evropské unii,0,"0,00",-
20,TOP 09,0,"0,00",-
21,ANO 2011,10,"52,63",X
22,Dobrá volba 2016,0,"0,00",-
23,SPR-Republ.str.Èsl. M.Sládka,0,"0,00",-
24,Køes.demokr.unie-Ès.str.lid.,2,"10,52",X
25,Èeská strana národnì sociální,0,"0,00",-
26,REALISTÉ,1,"5,26",X
27,SPORTOVCI,0,"0,00",-
28,Dìlnic.str.sociální spravedl.,0,"0,00",-
29,Svob.a pø.dem.-T.Okamura (SPD),1,"5,26",X
30,Strana Práv Obèanù,0,"0,00",-
1,1,"100,00",237,173,"73,00",173,173,"100,00"
1,Obèanská demokratická strana,20,"11,56",X
2,Øád národa - Vlastenecká unie,0,"0,00",-
3,CESTA ODPOVÌDNÉ SPOLEÈNOSTI,0,"0,00",-
4,Èeská str.sociálnì demokrat.,11,"6,35",X
6,Radostné Èesko,0,"0,00",-
7,STAROSTOVÉ A NEZÁVISLÍ,11,"6,35",X
8,Komunistická str.Èech a Moravy,20,"11,56",X
9,Strana zelenıch,1,"0,57",X
10,"ROZUMNÍ-stop migraci,diktát.EU",0,"0,00",-
12,Strana svobodnıch obèanù,2,"1,15",X
13,Blok proti islam.-Obran.domova,0,"0,00",-
14,Obèanská demokratická aliance,0,"0,00",-
15,Èeská pirátská strana,12,"6,93",X
17,Unie H.A.V.E.L.,0,"0,00",-
19,Referendum o Evropské unii,0,"0,00",-
20,TOP 09,4,"2,31",X
21,ANO 2011,70,"40,46",X
22,Dobrá volba 2016,0,"0,00",-
23,SPR-Republ.str.Èsl. M.Sládka,1,"0,57",X
24,Køes.demokr.unie-Ès.str.lid.,6,"3,46",X
25,Èeská strana národnì sociální,0,"0,00",-
26,REALISTÉ,0,"0,00",-
27,SPORTOVCI,1,"0,57",X
28,Dìlnic.str.sociální spravedl.,0,"0,00",-
29,Svob.a pø.dem.-T.Okamura (SPD),13,"7,51",X
30,Strana Práv Obèanù,1,"0,57",X
1,1,"100,00",257,189,"73,54",189,189,"100,00"
1,Obèanská demokratická strana,23,"12,16",X
2,Øád národa - Vlastenecká unie,1,"0,52",X
3,CESTA ODPOVÌDNÉ SPOLEÈNOSTI,0,"0,00",-
4,Èeská str.sociálnì demokrat.,6,"3,17",X
6,Radostné Èesko,0,"0,00",-
7,STAROSTOVÉ A NEZÁVISLÍ,13,"6,87",X
8,Komunistická str.Èech a Moravy,14,"7,40",X
9,Strana zelenıch,1,"0,52",X
10,"ROZUMNÍ-stop migraci,diktát.EU",4,"2,11",X
12,Strana svobodnıch obèanù,1,"0,52",X
13,Blok proti islam.-Obran.domova,1,"0,52",X
14,Obèanská demokratická aliance,0,"0,00",-
15,Èeská pirátská strana,32,"16,93",X
17,Unie H.A.V.E.L.,0,"0,00",-
19,Referendum o Evropské unii,0,"0,00",-
20,TOP 09,12,"6,34",X
21,ANO 2011,49,"25,92",X
22,Dobrá volba 2016,0,"0,00",-
23,SPR-Republ.str.Èsl. M.Sládka,0,"0,00",-
24,Køes.demokr.unie-Ès.str.lid.,0,"0,00",-
25,Èeská strana národnì sociální,0,"0,00",-
26,REALISTÉ,1,"0,52",X
27,SPORTOVCI,0,"0,00",-
28,Dìlnic.str.sociální spravedl.,0,"0,00",-
29,Svob.a pø.dem.-T.Okamura (SPD),31,"16,40",X
30,Strana Práv Obèanù,0,"0,00",-
1,1,"100,00",145,114,"78,62",114,112,"98,25"
1,Obèanská demokratická strana,8,"7,14",X
2,Øád národa - Vlastenecká unie,1,"0,89",X
3,CESTA ODPOVÌDNÉ SPOLEÈNOSTI,0,"0,00",-
4,Èeská str.sociálnì demokrat.,11,"9,82",X
6,Radostné Èesko,0,"0,00",-
7,STAROSTOVÉ A NEZÁVISLÍ,15,"13,39",X
8,Komunistická str.Èech a Moravy,17,"15,17",X
9,Strana zelenıch,0,"0,00",-
10,"ROZUMNÍ-stop migraci,diktát.EU",1,"0,89",X
12,Strana svobodnıch obèanù,4,"3,57",X
13,Blok proti islam.-Obran.domova,0,"0,00",-
14,Obèanská demokratická aliance,1,"0,89",X
15,Èeská pirátská strana,10,"8,92",X
17,Unie H.A.V.E.L.,0,"0,00",-
19,Referendum o Evropské unii,0,"0,00",-
20,TOP 09,0,"0,00",-
21,ANO 2011,37,"33,03",X
22,Dobrá volba 2016,1,"0,89",X
23,SPR-Republ.str.Èsl. M.Sládka,1,"0,89",X
24,Køes.demokr.unie-Ès.str.lid.,0,"0,00",-
25,Èeská strana národnì sociální,0,"0,00",-
26,REALISTÉ,0,"0,00",-
27,SPORTOVCI,0,"0,00",-
28,Dìlnic.str.sociální spravedl.,0,"0,00",-
29,Svob.a pø.dem.-T.Okamura (SPD),5,"4,46",X
30,Strana Práv Obèanù,0,"0,00",-
1,1,"100,00",46,33,"71,74",33,32,"96,97"
1,Obèanská demokratická strana,3,"9,37",X
2,Øád národa - Vlastenecká unie,0,"0,00",-
3,CESTA ODPOVÌDNÉ SPOLEÈNOSTI,0,"0,00",-
4,Èeská str.sociálnì demokrat.,0,"0,00",-
6,Radostné Èesko,0,"0,00",-
7,STAROSTOVÉ A NEZÁVISLÍ,9,"28,12",X
8,Komunistická str.Èech a Moravy,2,"6,25",X
9,Strana zelenıch,1,"3,12",X
10,"ROZUMNÍ-stop migraci,diktát.EU",1,"3,12",X
12,Strana svobodnıch obèanù,0,"0,00",-
13,Blok proti islam.-Obran.domova,0,"0,00",-
14,Obèanská demokratická aliance,0,"0,00",-
15,Èeská pirátská strana,2,"6,25",X
17,Unie H.A.V.E.L.,0,"0,00",-
19,Referendum o Evropské unii,0,"0,00",-
20,TOP 09,0,"0,00",-
21,ANO 2011,10,"31,25",X
22,Dobrá volba 2016,0,"0,00",-
23,SPR-Republ.str.Èsl. M.Sládka,0,"0,00",-
24,Køes.demokr.unie-Ès.str.lid.,1,"3,12",X
25,Èeská strana národnì sociální,0,"0,00",-
26,REALISTÉ,0,"0,00",-
27,SPORTOVCI,0,"0,00",-
28,Dìlnic.str.sociální spravedl.,0,"0,00",-
29,Svob.a pø.dem.-T.Okamura (SPD),3,"9,37",X
30,Strana Práv Obèanù,0,"0,00",-
1,1,"100,00",278,177,"63,67",177,176,"99,44"
1,Obèanská demokratická strana,29,"16,47",X
2,Øád národa - Vlastenecká unie,0,"0,00",-
3,CESTA ODPOVÌDNÉ SPOLEÈNOSTI,0,"0,00",-
4,Èeská str.sociálnì demokrat.,5,"2,84",X
6,Radostné Èesko,0,"0,00",-
7,STAROSTOVÉ A NEZÁVISLÍ,18,"10,22",X
8,Komunistická str.Èech a Moravy,5,"2,84",X
9,Strana zelenıch,5,"2,84",X
10,"ROZUMNÍ-stop migraci,diktát.EU",0,"0,00",-
12,Strana svobodnıch obèanù,2,"1,13",X
13,Blok proti islam.-Obran.domova,0,"0,00",-
14,Obèanská demokratická aliance,0,"0,00",-
15,Èeská pirátská strana,32,"18,18",X
17,Unie H.A.V.E.L.,0,"0,00",-
19,Referendum o Evropské unii,0,"0,00",-
20,TOP 09,7,"3,97",X
21,ANO 2011,62,"35,22",X
22,Dobrá volba 2016,0,"0,00",-
23,SPR-Republ.str.Èsl. M.Sládka,0,"0,00",-
24,Køes.demokr.unie-Ès.str.lid.,3,"1,70",X
25,Èeská strana národnì sociální,0,"0,00",-
26,REALISTÉ,2,"1,13",X
27,SPORTOVCI,0,"0,00",-
28,Dìlnic.str.sociální spravedl.,1,"0,56",X
29,Svob.a pø.dem.-T.Okamura (SPD),5,"2,84",X
30,Strana Práv Obèanù,0,"0,00",-
1,1,"100,00",112,87,"77,68",87,87,"100,00"
1,Obèanská demokratická strana,5,"5,74",X
2,Øád národa - Vlastenecká unie,0,"0,00",-
3,CESTA ODPOVÌDNÉ SPOLEÈNOSTI,0,"0,00",-
4,Èeská str.sociálnì demokrat.,3,"3,44",X
6,Radostné Èesko,0,"0,00",-
7,STAROSTOVÉ A NEZÁVISLÍ,5,"5,74",X
8,Komunistická str.Èech a Moravy,6,"6,89",X
9,Strana zelenıch,0,"0,00",-
10,"ROZUMNÍ-stop migraci,diktát.EU",0,"0,00",-
12,Strana svobodnıch obèanù,0,"0,00",-
13,Blok proti islam.-Obran.domova,0,"0,00",-
14,Obèanská demokratická aliance,0,"0,00",-
15,Èeská pirátská strana,4,"4,59",X
17,Unie H.A.V.E.L.,0,"0,00",-
19,Referendum o Evropské unii,0,"0,00",-
20,TOP 09,0,"0,00",-
21,ANO 2011,51,"58,62",X
22,Dobrá volba 2016,0,"0,00",-
23,SPR-Republ.str.Èsl. M.Sládka,0,"0,00",-
24,Køes.demokr.unie-Ès.str.lid.,6,"6,89",X
25,Èeská strana národnì sociální,0,"0,00",-
26,REALISTÉ,0,"0,00",-
27,SPORTOVCI,0,"0,00",-
28,Dìlnic.str.sociální spravedl.,1,"1,14",X
29,Svob.a pø.dem.-T.Okamura (SPD),6,"6,89",X
30,Strana Práv Obèanù,0,"0,00",-
1,1,"100,00",112,95,"84,82",95,95,"100,00"
1,Obèanská demokratická strana,4,"4,21",X
2,Øád národa - Vlastenecká unie,0,"0,00",-
3,CESTA ODPOVÌDNÉ SPOLEÈNOSTI,0,"0,00",-
4,Èeská str.sociálnì demokrat.,8,"8,42",X
6,Radostné Èesko,0,"0,00",-
7,STAROSTOVÉ A NEZÁVISLÍ,4,"4,21",X
8,Komunistická str.Èech a Moravy,0,"0,00",-
9,Strana zelenıch,1,"1,05",X
10,"ROZUMNÍ-stop migraci,diktát.EU",1,"1,05",X
12,Strana svobodnıch obèanù,0,"0,00",-
13,Blok proti islam.-Obran.domova,0,"0,00",-
14,Obèanská demokratická aliance,0,"0,00",-
15,Èeská pirátská strana,11,"11,57",X
17,Unie H.A.V.E.L.,0,"0,00",-
19,Referendum o Evropské unii,0,"0,00",-
20,TOP 09,4,"4,21",X
21,ANO 2011,23,"24,21",X
22,Dobrá volba 2016,0,"0,00",-
23,SPR-Republ.str.Èsl. M.Sládka,0,"0,00",-
24,Køes.demokr.unie-Ès.str.lid.,33,"34,73",X
25,Èeská strana národnì sociální,0,"0,00",-
26,REALISTÉ,0,"0,00",-
27,SPORTOVCI,1,"1,05",X
28,Dìlnic.str.sociální spravedl.,0,"0,00",-
29,Svob.a pø.dem.-T.Okamura (SPD),5,"5,26",X
30,Strana Práv Obèanù,0,"0,00",-
2,2,"100,00",991,664,"67,00",663,659,"99,40"
1,Obèanská demokratická strana,74,"11,22",X
2,Øád národa - Vlastenecká unie,1,"0,15",X
3,CESTA ODPOVÌDNÉ SPOLEÈNOSTI,1,"0,15",X
4,Èeská str.sociálnì demokrat.,50,"7,58",X
6,Radostné Èesko,0,"0,00",-
7,STAROSTOVÉ A NEZÁVISLÍ,42,"6,37",X
8,Komunistická str.Èech a Moravy,51,"7,73",X
9,Strana zelenıch,9,"1,36",X
10,"ROZUMNÍ-stop migraci,diktát.EU",4,"0,60",X
12,Strana svobodnıch obèanù,12,"1,82",X
13,Blok proti islam.-Obran.domova,0,"0,00",-
14,Obèanská demokratická aliance,2,"0,30",X
15,Èeská pirátská strana,119,"18,05",X
17,Unie H.A.V.E.L.,1,"0,15",X
19,Referendum o Evropské unii,0,"0,00",-
20,TOP 09,46,"6,98",X
21,ANO 2011,171,"25,94",X
22,Dobrá volba 2016,0,"0,00",-
23,SPR-Republ.str.Èsl. M.Sládka,1,"0,15",X
24,Køes.demokr.unie-Ès.str.lid.,12,"1,82",X
25,Èeská strana národnì sociální,0,"0,00",-
26,REALISTÉ,8,"1,21",X
27,SPORTOVCI,2,"0,30",X
28,Dìlnic.str.sociální spravedl.,0,"0,00",-
29,Svob.a pø.dem.-T.Okamura (SPD),53,"8,04",X
30,Strana Práv Obèanù,0,"0,00",-
1,1,"100,00",58,34,"58,62",34,34,"100,00"
1,Obèanská demokratická strana,5,"14,70",X
2,Øád národa - Vlastenecká unie,0,"0,00",-
3,CESTA ODPOVÌDNÉ SPOLEÈNOSTI,0,"0,00",-
4,Èeská str.sociálnì demokrat.,2,"5,88",X
6,Radostné Èesko,0,"0,00",-
7,STAROSTOVÉ A NEZÁVISLÍ,4,"11,76",X
8,Komunistická str.Èech a Moravy,1,"2,94",X
9,Strana zelenıch,0,"0,00",-
10,"ROZUMNÍ-stop migraci,diktát.EU",1,"2,94",X
12,Strana svobodnıch obèanù,0,"0,00",-
13,Blok proti islam.-Obran.domova,0,"0,00",-
14,Obèanská demokratická aliance,0,"0,00",-
15,Èeská pirátská strana,0,"0,00",-
17,Unie H.A.V.E.L.,0,"0,00",-
19,Referendum o Evropské unii,0,"0,00",-
20,TOP 09,3,"8,82",X
21,ANO 2011,10,"29,41",X
22,Dobrá volba 2016,0,"0,00",-
23,SPR-Republ.str.Èsl. M.Sládka,0,"0,00",-
24,Køes.demokr.unie-Ès.str.lid.,6,"17,64",X
25,Èeská strana národnì sociální,0,"0,00",-
26,REALISTÉ,0,"0,00",-
27,SPORTOVCI,0,"0,00",-
28,Dìlnic.str.sociální spravedl.,0,"0,00",-
29,Svob.a pø.dem.-T.Okamura (SPD),2,"5,88",X
30,Strana Práv Obèanù,0,"0,00",-
1,1,"100,00",434,294,"67,74",294,292,"99,32"
1,Obèanská demokratická strana,27,"9,24",X
2,Øád národa - Vlastenecká unie,0,"0,00",-
3,CESTA ODPOVÌDNÉ SPOLEÈNOSTI,0,"0,00",-
4,Èeská str.sociálnì demokrat.,29,"9,93",X
6,Radostné Èesko,0,"0,00",-
7,STAROSTOVÉ A NEZÁVISLÍ,31,"10,61",X
8,Komunistická str.Èech a Moravy,16,"5,47",X
9,Strana zelenıch,1,"0,34",X
10,"ROZUMNÍ-stop migraci,diktát.EU",5,"1,71",X
12,Strana svobodnıch obèanù,6,"2,05",X
13,Blok proti islam.-Obran.domova,1,"0,34",X
14,Obèanská demokratická aliance,0,"0,00",-
15,Èeská pirátská strana,35,"11,98",X
17,Unie H.A.V.E.L.,0,"0,00",-
19,Referendum o Evropské unii,1,"0,34",X
20,TOP 09,5,"1,71",X
21,ANO 2011,91,"31,16",X
22,Dobrá volba 2016,0,"0,00",-
23,SPR-Republ.str.Èsl. M.Sládka,0,"0,00",-
24,Køes.demokr.unie-Ès.str.lid.,7,"2,39",X
25,Èeská strana národnì sociální,0,"0,00",-
26,REALISTÉ,1,"0,34",X
27,SPORTOVCI,1,"0,34",X
28,Dìlnic.str.sociální spravedl.,2,"0,68",X
29,Svob.a pø.dem.-T.Okamura (SPD),33,"11,30",X
30,Strana Práv Obèanù,0,"0,00",-
1,1,"100,00",187,123,"65,78",123,123,"100,00"
1,Obèanská demokratická strana,20,"16,26",X
2,Øád národa - Vlastenecká unie,0,"0,00",-
3,CESTA ODPOVÌDNÉ SPOLEÈNOSTI,0,"0,00",-
4,Èeská str.sociálnì demokrat.,1,"0,81",X
6,Radostné Èesko,0,"0,00",-
7,STAROSTOVÉ A NEZÁVISLÍ,9,"7,31",X
8,Komunistická str.Èech a Moravy,14,"11,38",X
9,Strana zelenıch,1,"0,81",X
10,"ROZUMNÍ-stop migraci,diktát.EU",1,"0,81",X
12,Strana svobodnıch obèanù,0,"0,00",-
13,Blok proti islam.-Obran.domova,1,"0,81",X
14,Obèanská demokratická aliance,0,"0,00",-
15,Èeská pirátská strana,20,"16,26",X
17,Unie H.A.V.E.L.,0,"0,00",-
19,Referendum o Evropské unii,0,"0,00",-
20,TOP 09,4,"3,25",X
21,ANO 2011,40,"32,52",X
22,Dobrá volba 2016,0,"0,00",-
23,SPR-Republ.str.Èsl. M.Sládka,0,"0,00",-
24,Køes.demokr.unie-Ès.str.lid.,9,"7,31",X
25,Èeská strana národnì sociální,0,"0,00",-
26,REALISTÉ,0,"0,00",-
27,SPORTOVCI,0,"0,00",-
28,Dìlnic.str.sociální spravedl.,0,"0,00",-
29,Svob.a pø.dem.-T.Okamura (SPD),3,"2,43",X
30,Strana Práv Obèanù,0,"0,00",-
2,2,"100,00",748,430,"57,49",430,429,"99,77"
1,Obèanská demokratická strana,23,"5,36",X
2,Øád národa - Vlastenecká unie,0,"0,00",-
3,CESTA ODPOVÌDNÉ SPOLEÈNOSTI,0,"0,00",-
4,Èeská str.sociálnì demokrat.,28,"6,52",X
6,Radostné Èesko,1,"0,23",X
7,STAROSTOVÉ A NEZÁVISLÍ,51,"11,88",X
8,Komunistická str.Èech a Moravy,34,"7,92",X
9,Strana zelenıch,3,"0,69",X
10,"ROZUMNÍ-stop migraci,diktát.EU",2,"0,46",X
12,Strana svobodnıch obèanù,5,"1,16",X
13,Blok proti islam.-Obran.domova,0,"0,00",-
14,Obèanská demokratická aliance,0,"0,00",-
15,Èeská pirátská strana,49,"11,42",X
17,Unie H.A.V.E.L.,0,"0,00",-
19,Referendum o Evropské unii,0,"0,00",-
20,TOP 09,24,"5,59",X
21,ANO 2011,145,"33,79",X
22,Dobrá volba 2016,0,"0,00",-
23,SPR-Republ.str.Èsl. M.Sládka,3,"0,69",X
24,Køes.demokr.unie-Ès.str.lid.,20,"4,66",X
25,Èeská strana národnì sociální,0,"0,00",-
26,REALISTÉ,1,"0,23",X
27,SPORTOVCI,2,"0,46",X
28,Dìlnic.str.sociální spravedl.,1,"0,23",X
29,Svob.a pø.dem.-T.Okamura (SPD),35,"8,15",X
30,Strana Práv Obèanù,2,"0,46",X
1,1,"100,00",104,79,"75,96",79,79,"100,00"
1,Obèanská demokratická strana,3,"3,79",X
2,Øád národa - Vlastenecká unie,0,"0,00",-
3,CESTA ODPOVÌDNÉ SPOLEÈNOSTI,0,"0,00",-
4,Èeská str.sociálnì demokrat.,11,"13,92",X
6,Radostné Èesko,0,"0,00",-
7,STAROSTOVÉ A NEZÁVISLÍ,7,"8,86",X
8,Komunistická str.Èech a Moravy,5,"6,32",X
9,Strana zelenıch,2,"2,53",X
10,"ROZUMNÍ-stop migraci,diktát.EU",1,"1,26",X
12,Strana svobodnıch obèanù,0,"0,00",-
13,Blok proti islam.-Obran.domova,0,"0,00",-
14,Obèanská demokratická aliance,0,"0,00",-
15,Èeská pirátská strana,9,"11,39",X
17,Unie H.A.V.E.L.,0,"0,00",-
19,Referendum o Evropské unii,0,"0,00",-
20,TOP 09,0,"0,00",-
21,ANO 2011,20,"25,31",X
22,Dobrá volba 2016,0,"0,00",-
23,SPR-Republ.str.Èsl. M.Sládka,0,"0,00",-
24,Køes.demokr.unie-Ès.str.lid.,6,"7,59",X
25,Èeská strana národnì sociální,0,"0,00",-
26,REALISTÉ,2,"2,53",X
27,SPORTOVCI,0,"0,00",-
28,Dìlnic.str.sociální spravedl.,0,"0,00",-
29,Svob.a pø.dem.-T.Okamura (SPD),13,"16,45",X
30,Strana Práv Obèanù,0,"0,00",-
1,1,"100,00",106,68,"64,15",67,67,"100,00"
1,Obèanská demokratická strana,2,"2,98",X
2,Øád národa - Vlastenecká unie,0,"0,00",-
3,CESTA ODPOVÌDNÉ SPOLEÈNOSTI,0,"0,00",-
4,Èeská str.sociálnì demokrat.,4,"5,97",X
6,Radostné Èesko,0,"0,00",-
7,STAROSTOVÉ A NEZÁVISLÍ,6,"8,95",X
8,Komunistická str.Èech a Moravy,6,"8,95",X
9,Strana zelenıch,0,"0,00",-
10,"ROZUMNÍ-stop migraci,diktát.EU",0,"0,00",-
12,Strana svobodnıch obèanù,1,"1,49",X
13,Blok proti islam.-Obran.domova,0,"0,00",-
14,Obèanská demokratická aliance,0,"0,00",-
15,Èeská pirátská strana,7,"10,44",X
17,Unie H.A.V.E.L.,0,"0,00",-
19,Referendum o Evropské unii,1,"1,49",X
20,TOP 09,1,"1,49",X
21,ANO 2011,19,"28,35",X
22,Dobrá volba 2016,0,"0,00",-
23,SPR-Republ.str.Èsl. M.Sládka,0,"0,00",-
24,Køes.demokr.unie-Ès.str.lid.,5,"7,46",X
25,Èeská strana národnì sociální,0,"0,00",-
26,REALISTÉ,0,"0,00",-
27,SPORTOVCI,0,"0,00",-
28,Dìlnic.str.sociální spravedl.,0,"0,00",-
29,Svob.a pø.dem.-T.Okamura (SPD),15,"22,38",X
30,Strana Práv Obèanù,0,"0,00",-
1,1,"100,00",121,82,"67,77",82,81,"98,78"
1,Obèanská demokratická strana,17,"20,98",X
2,Øád národa - Vlastenecká unie,0,"0,00",-
3,CESTA ODPOVÌDNÉ SPOLEÈNOSTI,0,"0,00",-
4,Èeská str.sociálnì demokrat.,5,"6,17",X
6,Radostné Èesko,0,"0,00",-
7,STAROSTOVÉ A NEZÁVISLÍ,2,"2,46",X
8,Komunistická str.Èech a Moravy,1,"1,23",X
9,Strana zelenıch,0,"0,00",-
10,"ROZUMNÍ-stop migraci,diktát.EU",0,"0,00",-
12,Strana svobodnıch obèanù,2,"2,46",X
13,Blok proti islam.-Obran.domova,0,"0,00",-
14,Obèanská demokratická aliance,0,"0,00",-
15,Èeská pirátská strana,9,"11,11",X
17,Unie H.A.V.E.L.,0,"0,00",-
19,Referendum o Evropské unii,0,"0,00",-
20,TOP 09,6,"7,40",X
21,ANO 2011,28,"34,56",X
22,Dobrá volba 2016,0,"0,00",-
23,SPR-Republ.str.Èsl. M.Sládka,0,"0,00",-
24,Køes.demokr.unie-Ès.str.lid.,1,"1,23",X
25,Èeská strana národnì sociální,0,"0,00",-
26,REALISTÉ,2,"2,46",X
27,SPORTOVCI,0,"0,00",-
28,Dìlnic.str.sociální spravedl.,0,"0,00",-
29,Svob.a pø.dem.-T.Okamura (SPD),8,"9,87",X
30,Strana Práv Obèanù,0,"0,00",-
1,1,"100,00",155,99,"63,87",99,99,"100,00"
1,Obèanská demokratická strana,10,"10,10",X
2,Øád národa - Vlastenecká unie,0,"0,00",-
3,CESTA ODPOVÌDNÉ SPOLEÈNOSTI,0,"0,00",-
4,Èeská str.sociálnì demokrat.,10,"10,10",X
6,Radostné Èesko,0,"0,00",-
7,STAROSTOVÉ A NEZÁVISLÍ,8,"8,08",X
8,Komunistická str.Èech a Moravy,10,"10,10",X
9,Strana zelenıch,0,"0,00",-
10,"ROZUMNÍ-stop migraci,diktát.EU",1,"1,01",X
12,Strana svobodnıch obèanù,1,"1,01",X
13,Blok proti islam.-Obran.domova,0,"0,00",-
14,Obèanská demokratická aliance,0,"0,00",-
15,Èeská pirátská strana,6,"6,06",X
17,Unie H.A.V.E.L.,0,"0,00",-
19,Referendum o Evropské unii,0,"0,00",-
20,TOP 09,2,"2,02",X
21,ANO 2011,34,"34,34",X
22,Dobrá volba 2016,0,"0,00",-
23,SPR-Republ.str.Èsl. M.Sládka,1,"1,01",X
24,Køes.demokr.unie-Ès.str.lid.,3,"3,03",X
25,Èeská strana národnì sociální,0,"0,00",-
26,REALISTÉ,2,"2,02",X
27,SPORTOVCI,0,"0,00",-
28,Dìlnic.str.sociální spravedl.,0,"0,00",-
29,Svob.a pø.dem.-T.Okamura (SPD),11,"11,11",X
30,Strana Práv Obèanù,0,"0,00",-
1,1,"100,00",245,183,"74,69",182,182,"100,00"
1,Obèanská demokratická strana,14,"7,69",X
2,Øád národa - Vlastenecká unie,0,"0,00",-
3,CESTA ODPOVÌDNÉ SPOLEÈNOSTI,0,"0,00",-
4,Èeská str.sociálnì demokrat.,9,"4,94",X
6,Radostné Èesko,0,"0,00",-
7,STAROSTOVÉ A NEZÁVISLÍ,15,"8,24",X
8,Komunistická str.Èech a Moravy,17,"9,34",X
9,Strana zelenıch,1,"0,54",X
10,"ROZUMNÍ-stop migraci,diktát.EU",1,"0,54",X
12,Strana svobodnıch obèanù,4,"2,19",X
13,Blok proti islam.-Obran.domova,0,"0,00",-
14,Obèanská demokratická aliance,0,"0,00",-
15,Èeská pirátská strana,24,"13,18",X
17,Unie H.A.V.E.L.,0,"0,00",-
19,Referendum o Evropské unii,0,"0,00",-
20,TOP 09,11,"6,04",X
21,ANO 2011,47,"25,82",X
22,Dobrá volba 2016,0,"0,00",-
23,SPR-Republ.str.Èsl. M.Sládka,1,"0,54",X
24,Køes.demokr.unie-Ès.str.lid.,19,"10,43",X
25,Èeská strana národnì sociální,0,"0,00",-
26,REALISTÉ,2,"1,09",X
27,SPORTOVCI,0,"0,00",-
28,Dìlnic.str.sociální spravedl.,0,"0,00",-
29,Svob.a pø.dem.-T.Okamura (SPD),16,"8,79",X
30,Strana Práv Obèanù,1,"0,54",X
1,1,"100,00",383,272,"71,02",269,267,"99,26"
1,Obèanská demokratická strana,28,"10,48",X
2,Øád národa - Vlastenecká unie,2,"0,74",X
3,CESTA ODPOVÌDNÉ SPOLEÈNOSTI,0,"0,00",-
4,Èeská str.sociálnì demokrat.,35,"13,10",X
6,Radostné Èesko,0,"0,00",-
7,STAROSTOVÉ A NEZÁVISLÍ,29,"10,86",X
8,Komunistická str.Èech a Moravy,24,"8,98",X
9,Strana zelenıch,1,"0,37",X
10,"ROZUMNÍ-stop migraci,diktát.EU",6,"2,24",X
12,Strana svobodnıch obèanù,1,"0,37",X
13,Blok proti islam.-Obran.domova,0,"0,00",-
14,Obèanská demokratická aliance,1,"0,37",X
15,Èeská pirátská strana,28,"10,48",X
17,Unie H.A.V.E.L.,0,"0,00",-
19,Referendum o Evropské unii,0,"0,00",-
20,TOP 09,5,"1,87",X
21,ANO 2011,66,"24,71",X
22,Dobrá volba 2016,0,"0,00",-
23,SPR-Republ.str.Èsl. M.Sládka,0,"0,00",-
24,Køes.demokr.unie-Ès.str.lid.,19,"7,11",X
25,Èeská strana národnì sociální,0,"0,00",-
26,REALISTÉ,0,"0,00",-
27,SPORTOVCI,0,"0,00",-
28,Dìlnic.str.sociální spravedl.,0,"0,00",-
29,Svob.a pø.dem.-T.Okamura (SPD),22,"8,23",X
30,Strana Práv Obèanù,0,"0,00",-
1,1,"100,00",241,171,"70,95",171,170,"99,42"
1,Obèanská demokratická strana,21,"12,35",X
2,Øád národa - Vlastenecká unie,0,"0,00",-
3,CESTA ODPOVÌDNÉ SPOLEÈNOSTI,0,"0,00",-
4,Èeská str.sociálnì demokrat.,12,"7,05",X
6,Radostné Èesko,0,"0,00",-
7,STAROSTOVÉ A NEZÁVISLÍ,6,"3,52",X
8,Komunistická str.Èech a Moravy,13,"7,64",X
9,Strana zelenıch,2,"1,17",X
10,"ROZUMNÍ-stop migraci,diktát.EU",5,"2,94",X
12,Strana svobodnıch obèanù,2,"1,17",X
13,Blok proti islam.-Obran.domova,0,"0,00",-
14,Obèanská demokratická aliance,0,"0,00",-
15,Èeská pirátská strana,19,"11,17",X
17,Unie H.A.V.E.L.,0,"0,00",-
19,Referendum o Evropské unii,0,"0,00",-
20,TOP 09,11,"6,47",X
21,ANO 2011,60,"35,29",X
22,Dobrá volba 2016,0,"0,00",-
23,SPR-Republ.str.Èsl. M.Sládka,1,"0,58",X
24,Køes.demokr.unie-Ès.str.lid.,5,"2,94",X
25,Èeská strana národnì sociální,0,"0,00",-
26,REALISTÉ,0,"0,00",-
